year,month,revenue,lastyear,YoY,MoM
2022,2,146933238,106533690,37.92,-14.661076963581069
2022,1,172176110,126749152,35.84,10.808108494774467
2021,12,155382230,117364912,32.39,4.79850692125931
2021,11,148267599,124865438,18.74,10.203787249745293
2021,10,134539477,119302707,12.77,-11.884527833561682
2021,9,152685418,127584492,19.67,11.102794948206817
2021,8,137427162,122878244,11.84,10.332041111291634
2021,7,124557799,105963468,17.55,-16.10611887897582
2021,6,148470660,120877785,22.83,32.13874928857924
2021,5,112359668,93819010,19.76,0.9386658883813773
2021,4,111314794,96001572,15.95,-13.794590191818951
2021,3,129127388,113519599,13.75,21.208030999395593
2021,2,106533690,93394449,14.07,-15.949189151182644
2021,1,126749152,103683135,22.25,7.995779863065036
2020,12,117364912,103313138,13.6,-6.006887190032521
2020,11,124865438,107884396,15.74,4.662703085186491
2020,10,119302707,106039531,12.51,-6.491216032744794
2020,9,127584492,102170096,24.87,3.8300091593105776
2020,8,122878244,106117619,15.79,15.962837305400384
2020,7,105963468,84757724,25.02,-12.338344055526829
2020,6,120877785,85867929,40.77,28.84146294018664
2020,5,93819010,80436931,16.64,-2.2734648553463273
2020,4,96001572,74693615,28.53,-15.431720297038751
2020,3,113519599,79721587,42.4,21.548550492545868
2020,2,93394449,60889055,53.38,-9.923201106910975
2020,1,103683135,78093827,32.77,0.35813160568213503
2019,12,103313138,89830598,15.01,-4.2371818070891365
2019,11,107884396,98389414,9.65,1.7397898525220752
2019,10,106039531,101550181,4.42,3.787248080886603
2019,9,102170096,94921920,7.64,-3.71995059557452
2019,8,106117619,91055038,16.54,25.201119133401928
2019,7,84757724,74370924,13.97,-1.2929215982372184
2019,6,85867929,70438298,21.91,6.751871226911926
2019,5,80436931,80968732,-0.66,7.689165934732173
2019,4,74693615,81869781,-8.77,-6.306914085892444
2019,3,79721587,103697437,-23.12,30.929256497740027
2019,2,60889055,64640562,-5.8,-22.030898805868485
2019,1,78093827,79740672,-2.07,-13.065449035527962
2018,12,89830598,89897252,-0.07,-8.698919580921581
2018,11,98389414,93153310,5.62,-3.112517347458002
2018,10,101550181,94519722,7.44,6.982856014711881
2018,9,94921920,88578988,7.16,4.246752387275924
2018,8,91055038,91917167,-0.94,22.4336516243902
2018,7,74370924,71611190,3.85,5.583079250438447
2018,6,70438298,84187305,-16.33,-13.005556268313551
2018,5,80968732,72795974,11.23,-1.1005880179403436
2018,4,81869781,56871933,43.95,-21.04936884794944
2018,3,103697437,85875181,20.75,60.42162040608496
2018,2,64640562,71422961,-9.5,-18.93652213013705
2018,1,79740672,76616258,4.08,-11.297987173178553
2017,12,89897252,78112022,15.09,-3.495375526645269
2017,11,93153310,93029912,0.13,-1.4456369222076213
2017,10,94519722,91085318,3.77,6.7067079158772955
2017,9,88578988,89702807,-1.25,-3.631725290227885
2017,8,91917167,94311424,-2.54,28.355871477628007
2017,7,71611190,76391654,-6.26,-14.938255833228062
2017,6,84187305,81390752,3.44,15.648298077583247
2017,5,72795974,73575784,-1.06,27.99982374434152
2017,4,56871933,66843310,-14.92,-33.773725612293035
2017,3,85875181,73088805,17.49,20.234697354538408
2017,2,71422961,59551321,19.94,-6.778322428641712
2017,1,76616258,70855235,8.13,
